feature,importance
event_data_prop_d185d3ea_duration_sum,14.700000000000003
event_data_prop_8d7e386c_total_duration_mean,14.700000000000001
event_data_prop_1375ccb7_total_duration_std,14.7
event_data_prop_a29c5338_total_duration_mean,14.600000000000001
event_data_prop_de26c3a6_duration_mean,14.6
event_data_prop_5a848010_duration_mean,14.6
event_data_prop_56817e2b_duration_mean,14.599999999999998
event_data_prop_392e14df_duration_mean,14.5
event_data_prop_47026d5f_total_duration_std,14.300000000000002
event_data_prop_0330ab6a_total_duration_mean,14.3
event_data_prop_67439901_total_duration_std,14.3
event_data_prop_3dcdda7f_total_duration_mean,14.3
event_data_prop_2dcad279_duration_mean,14.299999999999999
event_data_prop_9e4c8c7b_duration_mean,14.200000000000001
event_data_prop_562cec5f_duration_mean,14.200000000000001
event_data_prop_7ec0c298_total_duration_mean,14.2
event_data_prop_28520915_duration_max,14.2
event_data_prop_84538528_duration_sum,14.2
event_data_prop_ac92046e_duration_std,14.1
event_data_prop_1bb5fbdb_duration_sum,14.099999999999998
event_data_prop_b74258a0_duration_std,14.0
event_data_prop_9ed8f6da_duration_sum,13.700000000000001
event_data_prop_56817e2b_misses_std,13.7
event_data_prop_5c2f29ca_duration_max,13.600000000000001
event_data_prop_c74f40cd_duration_mean,13.600000000000001
event_data_prop_3dcdda7f_total_duration_std,13.6
event_data_prop_598f4598_duration_mean,13.5
event_data_prop_1bb5fbdb_duration_max,13.5
event_data_prop_0d1da71f_duration_std,13.5
event_data_prop_3323d7e9_misses_std,13.400000000000002
event_data_prop_83c6c409_duration_sum,13.400000000000002
uncorrect_attempts_max,13.4
event_data_prop_3d63345e_duration_std,13.4
event_data_prop_a8a78786_duration_std,13.3
event_data_prop_6c930e6e_duration_sum,13.200000000000001
event_data_prop_0a08139c_total_duration_mean,13.2
event_data_prop_69fdac0a_duration_mean,13.2
event_data_prop_33505eae_total_duration_mean,13.2
uncorrect_attempts_sum,13.100000000000001
event_data_prop_907a054b_total_duration_mean,13.100000000000001
event_data_prop_a1e4395d_total_duration_mean,13.100000000000001
event_data_prop_90efca10_duration_std,13.100000000000001
cnt_event_code_4021_sum,12.999999999999998
event_data_prop_f5b8c21a_duration_std,12.9
event_data_prop_250513af_total_duration_mean,12.899999999999999
event_data_prop_3d63345e_duration_sum,12.8
event_data_prop_3edf6747_duration_std,12.8
event_data_prop_28520915_duration_mean,12.8
event_data_prop_e694a35b_duration_sum,12.7
event_data_prop_84b0e0c8_duration_std,12.7
event_data_prop_90efca10_duration_mean,12.7
event_data_prop_58a0de5c_duration_mean,12.7
cnt_Crystal Caves - Level 3_sum,12.7
event_data_prop_2230fab4_duration_mean,12.600000000000001
event_data_prop_e9c52111_duration_std,12.6
event_data_prop_b74258a0_duration_sum,12.5
event_data_prop_598f4598_duration_sum,12.5
event_data_prop_6c930e6e_misses_mean,12.499999999999996
event_data_prop_9ed8f6da_duration_mean,12.400000000000002
event_data_prop_d3268efa_total_duration_mean,12.400000000000002
assessment_previous_uncorrect_attempts_max,12.400000000000002
event_data_prop_ac92046e_duration_mean,12.400000000000002
event_data_prop_ecaab346_duration_std,12.3
event_data_prop_d3f1e122_duration_std,12.3
assessment_previous_correct_attempts_sum,12.3
event_data_prop_ecaab346_duration_max,12.299999999999999
event_data_prop_38074c54_duration_mean,12.299999999999999
event_data_prop_3afde5dd_total_duration_mean,12.299999999999999
event_data_prop_7ec0c298_total_duration_std,12.299999999999999
event_data_prop_38074c54_misses_std,12.299999999999997
event_data_prop_d2659ab4_duration_mean,12.200000000000001
event_data_prop_56cd3b43_total_duration_mean,12.200000000000001
event_data_prop_b80e5e84_duration_mean,12.2
event_data_prop_0db6d71d_duration_max,12.2
event_data_prop_ea296733_total_duration_mean,12.2
event_data_prop_c277e121_total_duration_mean,12.199999999999998
event_data_prop_2dcad279_duration_std,12.100000000000001
event_data_prop_4ef8cdd3_duration_mean,12.100000000000001
event_data_prop_b5053438_duration_mean,12.1
event_data_prop_d02b7a8e_duration_std,12.1
event_data_prop_4a4c3d21_duration_std,12.099999999999998
event_data_prop_d185d3ea_duration_max,12.000000000000002
event_data_prop_beb0a7b9_total_duration_max,12.000000000000002
event_data_prop_58a0de5c_duration_std,12.0
event_data_prop_709b1251_duration_max,12.0
event_data_prop_46cd75b4_duration_std,11.900000000000002
event_data_prop_392e14df_duration_std,11.9
event_data_prop_4d6737eb_duration_std,11.899999999999999
event_data_prop_c1cac9a2_duration_std,11.899999999999999
event_data_prop_8b757ab8_duration_mean,11.8
event_data_prop_160654fd_total_duration_mean,11.8
event_data_prop_bbfe0445_duration_std,11.700000000000001
event_data_prop_f6947f54_misses_mean,11.7
event_data_prop_e4f1efe6_duration_mean,11.7
event_data_prop_7ab78247_total_duration_std,11.7
event_data_prop_cb6010f8_duration_mean,11.6
event_data_prop_53c6e11a_duration_std,11.6
event_data_prop_a52b92d5_duration_mean,11.6
event_data_prop_d45ed6a1_duration_sum,11.500000000000002
event_data_prop_1375ccb7_total_duration_mean,11.500000000000002
event_data_prop_28520915_duration_std,11.5
event_data_prop_a1bbe385_duration_mean,11.5
event_data_prop_36fa3ebe_duration_mean,11.5
event_data_prop_2dc29e21_duration_std,11.499999999999998
event_data_prop_a29c5338_total_duration_std,11.4
event_data_prop_ca11f653_duration_mean,11.399999999999999
cnt_Activity_sum,11.399999999999999
event_data_prop_3ccd3f02_duration_max,11.300000000000002
event_data_prop_598f4598_duration_std,11.3
event_data_prop_c74f40cd_duration_sum,11.3
event_data_prop_4d6737eb_duration_mean,11.3
event_data_prop_f6947f54_duration_mean,11.299999999999997
event_data_prop_499edb7c_duration_max,11.2
event_data_prop_1c178d24_duration_mean,11.2
event_data_prop_f7e47413_duration_mean,11.199999999999998
event_data_prop_895865f3_misses_mean,11.100000000000001
event_data_prop_b012cd7f_duration_mean,11.1
event_data_prop_1c178d24_duration_std,11.1
event_data_prop_4a09ace1_duration_std,11.1
event_data_prop_daac11b0_total_duration_std,11.1
event_data_prop_de26c3a6_duration_std,11.1
event_data_prop_0330ab6a_total_duration_std,11.1
event_data_prop_36fa3ebe_duration_std,11.0
event_data_prop_392e14df_duration_max,11.0
event_data_prop_ea321fb1_total_duration_std,11.0
event_data_prop_15f99afc_duration_mean,11.0
event_data_prop_d02b7a8e_duration_sum,11.0
event_data_prop_c58186bf_duration_max,11.0
